classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
information for attention,16/08/2013,19/08/2013,2013.1136,United Kingdom,food,"dietetic foods, food supplements, fortified foods",arsenic (7.3 mg/kg - ppm) and lead (13.8 mg/kg - ppm) in food supplement from the United States,hm,arsenic,7.3 mg/kg - ppm,food supplement,the United States
border rejection,14/08/2013,09/01/2014,2013.BMK,Netherlands,food,cephalopods and products thereof,cadmium (2.6 mg/kg - ppm) in frozen cuttlefish (Loligo spp) from India,hm,cadmium,2.6 mg/kg - ppm,frozen cuttlefish (loligo spp),India
information for attention,13/08/2013,06/12/2013,2013.1128,France,food,fish and fish products,cadmium (0.135 mg/kg - ppm) in frozen horse mackerel (Trachurus spp ) from New Zealand,hm,cadmium,0.135 mg/kg - ppm,frozen horse mackerel (trachurus spp ),New Zealand
alert,12/08/2013,30/09/2014,2013.1125,Poland,food,fruits and vegetables,tin (269.5 mg/kg - ppm) in pear halves in syrup from China,hm,tin,269.5 mg/kg - ppm,pear halves in syrup,China
information for attention,12/08/2013,15/10/2013,2013.1124,Italy,food,fish and fish products,mercury (2.27 mg/kg - ppm) in smoked swordfish (Xiphias gladius) from Spain,hm,mercury,2.27 mg/kg - ppm,smoked swordfish (xiphias gladius),Spain
information for attention,12/08/2013,30/09/2013,2013.1126,Spain,food,fish and fish products,mercury (1.1 mg/kg - ppm) in chilled red scorpionfish (Scorpaena scrofa) from Morocco,hm,mercury,1.1 mg/kg - ppm,chilled red scorpionfish (scorpaena scrofa),Morocco
information for attention,09/08/2013,10/01/2014,2013.1121,Spain,food,cephalopods and products thereof,cadmium (1.6 mg/kg - ppm) in frozen cuttlefish from China,hm,cadmium,1.6 mg/kg - ppm,frozen cuttlefish,China
alert,09/08/2013,05/09/2013,2013.1116,Italy,food,fish and fish products,mercury (1.15 mg/kg - ppm) in chilled shortfin mako shark (Isurus oxyrhinchus) from Spain,hm,mercury,1.15 mg/kg - ppm,chilled shortfin mako shark (isurus oxyrhinchus),Spain
border rejection,09/08/2013,09/08/2013,2013.BLO,France,food,fish and fish products,mercury (1.251 mg/kg - ppm) in frozen swordfish fillets (Xiphias gladius) from Vietnam,hm,mercury,1.251 mg/kg - ppm,swordfish,Vietnam
alert,06/08/2013,26/05/2014,2013.1090,Italy,food,fish and fish products,"mercury (1.3 mg/kg - ppm) in frozen swordfish slices from Portugal, with raw material from Spain",hm,mercury,1.3 mg/kg - ppm,frozen swordfish slices,"Portugal, with raw material from Spain"
alert,05/08/2013,30/08/2013,2013.1082,Netherlands,food,bivalve molluscs and products thereof,"cadmium (1.68 mg/kg - ppm) in mussels from Chile, via Denmark",hm,cadmium,1.68 mg/kg - ppm,mussels,"Chile, via Denmark"
information for follow-up,02/08/2013,30/09/2014,2013.1074,Denmark,food,fruits and vegetables,"tin (283; 243 mg/kg - ppm) in and corrosion of canned apricots in syrup from Greece, via Germany",hm,tin,283; 243 mg/kg - ppm,and corrosion of canned apricot in syrup,"Greece, via Germany"
alert,26/07/2013,30/08/2013,2013.1046,Italy,food,fish and fish products,mercury (1.6 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain,hm,mercury,1.6 mg/kg - ppm,swordfish,Spain
information for attention,25/07/2013,24/10/2013,2013.1036,Cyprus,food,cephalopods and products thereof,cadmium (1.5 mg/kg - ppm) in whole cleaned cuttlefish (Sepia pharaonis) from India,hm,cadmium,1.5 mg/kg - ppm,whole cleaned cuttlefish (sepia pharaonis),India
information for attention,24/07/2013,19/09/2013,2013.1033,France,food,fish and fish products,mercury (1.420 mg/kg - ppm) in chilled  swordfish (Xiphias gladius) from Ecuador,hm,mercury,1.420 mg/kg - ppm,swordfish,Ecuador
information for attention,19/07/2013,21/08/2013,2013.1010,Italy,food,fish and fish products,mercury (1.465 mg/kg - ppm) in vacuum packed fillets of swordfish (Xiphias gladius) from Portugal,hm,mercury,1.465 mg/kg - ppm,vacuum packed fillets of swordfish (xiphias gladius),Portugal
information for attention,19/07/2013,26/07/2013,2013.1016,Italy,food,fish and fish products,mercury (2.90 mg/kg - ppm) in frozen loins of black marlin (Makaira indica) from Vietnam,hm,mercury,2.90 mg/kg - ppm,frozen loins of black marlin (makaira indica),Vietnam
alert,18/07/2013,26/05/2014,2013.1002,Italy,food,fish and fish products,"mercury (1.53 mg/kg - ppm) in frozen sliced swordfish (Xiphias gladius) from Portugal, with raw material from Spain",hm,mercury,1.53 mg/kg - ppm,frozen sliced swordfish (xiphias gladius),"Portugal, with raw material from Spain"
alert,18/07/2013,20/01/2014,2013.1001,Greece,food,fish and fish products,mercury (2.6 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Spain,hm,mercury,2.6 mg/kg - ppm,frozen blue shark (prionace glauca),Spain
border rejection,12/07/2013,21/08/2013,2013.BHK,Germany,food,fish and fish products,mercury (2.1 mg/kg - ppm) in swordfish fillet (Xiphias gladius) from Sri Lanka,hm,mercury,2.1 mg/kg - ppm,swordfish fillet (xiphias gladius),Sri Lanka
information for attention,12/07/2013,21/08/2013,2013.0982,Germany,food,fish and fish products,mercury (1.3 mg/kg - ppm) in swordfish fillet (Xiphias gladius) from Sri Lanka,hm,mercury,1.3 mg/kg - ppm,swordfish fillet (xiphias gladius),Sri Lanka
information for attention,10/07/2013,26/07/2013,2013.0977,Italy,food,fish and fish products,mercury (1.4 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.4 mg/kg - ppm,swordfish,Spain
alert,08/07/2013,21/11/2013,2013.0962,Italy,food,fish and fish products,mercury (1.37 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain,hm,mercury,1.37 mg/kg - ppm,swordfish,Spain
alert,05/07/2013,26/07/2013,2013.0954,Sweden,food,"dietetic foods, food supplements, fortified foods","arsenic (38 500 mg/kg - ppm) and mercury (0.19 mg/kg - ppm) in food supplement from China, via the Netherlands",hm,arsenic,38 500 mg/kg - ppm,food supplement,"China, via the Netherlands"
information for attention,05/07/2013,05/07/2013,2013.0956,Italy,food,fish and fish products,mercury (2 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Greece,hm,mercury,2 mg/kg - ppm,swordfish,Greece
alert,04/07/2013,13/08/2013,2013.0943,Sweden,food,"dietetic foods, food supplements, fortified foods","mercury (2.2 mg/kg - ppm) in herbal food supplement from India, via the United Kingdom",hm,mercury,2.2 mg/kg - ppm,herbal supplement,"India, via the United Kingdom"
alert,04/07/2013,13/08/2013,2013.0941,Sweden,food,"dietetic foods, food supplements, fortified foods","lead (10 mg/kg - ppm) and mercury (12 mg/kg - ppm) in food supplement from India, via the United Kingdom",hm,lead,10 mg/kg - ppm,food supplement,"India, via the United Kingdom"
information for attention,04/07/2013,29/07/2013,2013.0940,France,food,cephalopods and products thereof,cadmium (1.975 mg/kg - ppm) in squid (Loligo spp) from India,hm,cadmium,1.975 mg/kg - ppm,squid (loligo spp),India
alert,01/07/2013,01/04/2015,2013.0921,Germany,food,fish and fish products,mercury (1.36 mg/kg - ppm) in frozen escolar fillers (Lepidocybium flavobrunneum) from Vietnam,hm,mercury,1.36 mg/kg - ppm,frozen escolar fillers (lepidocybium flavobrunneum),Vietnam
alert,27/06/2013,09/07/2013,2013.0902,Belgium,food,fruits and vegetables,cadmium (0.68; 076 mg/kg - ppm) in spinach from Belgium,hm,cadmium,0.68; 076 mg/kg - ppm,spinach,Belgium
alert,24/06/2013,02/10/2013,2013.0883,Italy,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Spain,hm,mercury,1.3 mg/kg - ppm,frozen blue shark (prionace glauca),Spain
alert,14/06/2013,30/07/2013,2013.0837,Italy,food,fish and fish products,mercury (2.4 mg/kg - ppm) in frozen mako shark (Isurus oxyrinchus) from Spain,hm,mercury,2.4 mg/kg - ppm,frozen mako shark (isurus oxyrinchus),Spain
border rejection,13/06/2013,20/06/2013,2013.BDO,Germany,food,poultry meat and poultry meat products,mercury (0.017; 0.024 mg/kg - ppm) in frozen marinated cooked chicken breasts from Brazil,hm,mercury,0.017; 0.024 mg/kg - ppm,frozen marinated cooked chicken breasts,Brazil
information for attention,12/06/2013,16/08/2013,2013.0824,Italy,food,fish and fish products,"mercury (1.2 mg/kg - ppm) in chilled yellowfin tuna from Portugal, via Spain",hm,mercury,1.2 mg/kg - ppm,chilled yellowfin tuna,"Portugal, via Spain"
information for attention,10/06/2013,18/07/2013,2013.0811,Italy,food,fish and fish products,mercury (2.0 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Chile,hm,mercury,2.0 mg/kg - ppm,swordfish,Chile
alert,07/06/2013,16/08/2013,2013.0795,France,food,"dietetic foods, food supplements, fortified foods",lead (12.5 mg/kg - ppm) in food supplement from France,hm,lead,12.5 mg/kg - ppm,food supplement,France
information for attention,04/06/2013,10/09/2013,2013.0776,Latvia,food,natural mineral water,arsenic (34 µg/l) in sparkling natural mineral water from Georgia,hm,arsenic,34 µg/l,sparkling natural mineral water,Georgia
information for attention,29/05/2013,29/05/2013,2013.0749,France,food,crustaceans and products thereof,mercury (1.07 mg/kg - ppm) in chilled lobster (Palinurus spp) from Algeria,hm,mercury,1.07 mg/kg - ppm,chilled lobster (palinurus spp),Algeria
information for attention,27/05/2013,27/09/2013,2013.0724,Germany,food,fish and fish products,mercury (1.21 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Chile,hm,mercury,1.21 mg/kg - ppm,swordfish,Chile
alert,27/05/2013,16/07/2013,2013.0736,France,food,fish and fish products,mercury (1.485 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Chile,hm,mercury,1.485 mg/kg - ppm,swordfish,Chile
alert,24/05/2013,09/08/2013,2013.0720,Belgium,food,bivalve molluscs and products thereof,cadmium (4.75 mg/kg - ppm) in chilled clams from Belgium,hm,cadmium,4.75 mg/kg - ppm,chilled clams,Belgium
information for attention,17/05/2013,30/08/2013,2013.0693,Germany,food,poultry meat and poultry meat products,mercury (0.016; 0.021 mg/kg - ppm) in cooked marinated chicken breast fillets from Brazil,hm,mercury,0.016; 0.021 mg/kg - ppm,cooked marinated chicken breast fillets,Brazil
information for attention,16/05/2013,26/11/2013,2013.0680,Italy,food,cephalopods and products thereof,"cadmium (2.06 mg/kg - ppm) in frozen squid from Spain, via Slovenia",hm,cadmium,2.06 mg/kg - ppm,frozen squid,"Spain, via Slovenia"
alert,16/05/2013,06/08/2013,2013.0682,Italy,food,fish and fish products,mercury (1.48 mg/kg - ppm) in frozen swordfish ( Xiphias glaudius) from Spain,hm,mercury,1.48 mg/kg - ppm,frozen swordfish ( xiphias glaudius),Spain
alert,15/05/2013,02/07/2013,2013.0677,Italy,food,fish and fish products,mercury (2.1 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain,hm,mercury,2.1 mg/kg - ppm,swordfish,Spain
information for attention,15/05/2013,10/06/2013,2013.0673,Slovenia,food,fish and fish products,mercury (1.7 mg/kg - ppm) in chilled tuna (Thunnus alalunga) from Croatia,hm,mercury,1.7 mg/kg - ppm,chilled tuna (thunnus alalunga),Croatia
alert,14/05/2013,02/07/2013,2013.0671,Slovenia,food,fish and fish products,"mercury (1.6 mg/kg - ppm) in frozen blue shark (Prionace glauca) fillets from Spain, packaged in Slovenia",hm,mercury,1.6 mg/kg - ppm,frozen blue shark (prionace glauca) fillets,"Spain, packaged in Slovenia"
information for attention,13/05/2013,17/09/2013,2013.0659,France,food,fish and fish products,mercury (1.912 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Madagascar,hm,mercury,1.912 mg/kg - ppm,swordfish,Madagascar
alert,10/05/2013,27/11/2013,2013.0655,Italy,food,fish and fish products,"mercury (2.40 mg/kg - ppm) in smoked swordfish from Portugal, via Spain",hm,mercury,2.40 mg/kg - ppm,smoked swordfish,"Portugal, via Spain"
information for attention,09/05/2013,09/05/2013,2013.0651,Lithuania,food,food additives and flavourings,migration of cadmium (0.22; 0.14; 0.21; 0.15 mg/dm²) from porcelain square plates from China,hm,migration of cadmium,0.22; 0.14; 0.21; 0.15 mg/dm²,migration of cadmium (0.22; 0.14; 0.21; 0.15 mg/dm²),China
border rejection,08/05/2013,28/05/2013,2013.AXF,France,food,fish and fish products,mercury (1.525 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam,hm,mercury,1.525 mg/kg - ppm,swordfish,Vietnam
alert,24/04/2013,21/01/2014,2013.0587,Italy,food,fish and fish products,"mercury (1.1 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Portugal, via Spain",hm,mercury,1.1 mg/kg - ppm,swordfish,"Portugal, via Spain"
alert,19/04/2013,29/08/2013,2013.0562,Italy,food,fish and fish products,mercury (1.34 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.34 mg/kg - ppm,swordfish,Spain
border rejection,17/04/2013,05/08/2013,2013.AUF,Switzerland,food,fish and fish products,mercury (3.3 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from the United States,hm,mercury,3.3 mg/kg - ppm,swordfish,the United States
alert,15/04/2013,03/09/2013,2013.0536,Italy,food,fish and fish products,"mercury (2.7 / 2.2 / 3.8 mg/kg - ppm) in smoked swordfish (Xiphias gladius) processed in Spain, with raw material from Vietnam",hm,mercury,2.7 / 2.2 / 3.8 mg/kg - ppm,"smoked swordfish (xiphias gladius) processed in spain, with raw material",Vietnam
alert,12/04/2013,06/06/2013,2013.0533,Italy,food,fish and fish products,mercury (1.94 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain,hm,mercury,1.94 mg/kg - ppm,swordfish,Spain
information for attention,12/04/2013,12/04/2013,2013.0531,Spain,food,fish and fish products,mercury (1.38 mg/kg - ppm) in chilled swordfish from Morocco,hm,mercury,1.38 mg/kg - ppm,chilled swordfish,Morocco
information for attention,11/04/2013,03/05/2013,2013.0522,France,food,fish and fish products,mercury (1.776 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain,hm,mercury,1.776 mg/kg - ppm,swordfish,Spain
information for attention,11/04/2013,11/04/2013,2013.0521,Bulgaria,food,fruits and vegetables,lead (0.11 mg/kg - ppm) in carrots from Turkey,hm,lead,0.11 mg/kg - ppm,carrots,Turkey
alert,09/04/2013,31/07/2013,2013.0494,Italy,food,fish and fish products,mercury (1.08 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.08 mg/kg - ppm,swordfish,Spain
alert,08/04/2013,30/07/2013,2013.0490,Italy,food,fish and fish products,mercury (2.9 mg/kg - ppm) in chilled swordfish loaves from Spain,hm,mercury,2.9 mg/kg - ppm,chilled swordfish loaves,Spain
border rejection,08/04/2013,06/05/2013,2013.ASV,France,food,fish and fish products,mercury (1.613 mg/kg - ppm) in frozen swordfish loins (Xiphias gladius) from Vietnam,hm,mercury,1.613 mg/kg - ppm,swordfish,Vietnam
alert,05/04/2013,01/08/2013,2013.0488,Italy,food,fish and fish products,mercury (1.7 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.7 mg/kg - ppm,swordfish,Spain
border rejection,05/04/2013,05/04/2013,2013.ASQ,France,food,fish and fish products,mercury (1.327 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam,hm,mercury,1.327 mg/kg - ppm,swordfish,Vietnam
border rejection,05/04/2013,05/04/2013,2013.ASP,France,food,fish and fish products,mercury (2.09 mg/kg - ppm) in frozen swordfish loins (Xiphias gladius) from Vietnam,hm,mercury,2.09 mg/kg - ppm,swordfish,Vietnam
alert,02/04/2013,31/07/2013,2013.0461,Italy,food,fish and fish products,mercury (1.8 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain,hm,mercury,1.8 mg/kg - ppm,swordfish,Spain
alert,29/03/2013,29/03/2013,2013.0457,Slovenia,food,fish and fish products,mercury (2.69 mg/kg - ppm) in chilled amberjack (Seriola spp) from Croatia,hm,mercury,2.69 mg/kg - ppm,chilled amberjack (seriola spp),Croatia
alert,26/03/2013,11/03/2014,2013.0435,Italy,food,fish and fish products,"mercury (1.9 mg/kg - ppm) in swordfish (Xiphias gladius) from Vietnam, via Portugal and via Spain",hm,mercury,1.9 mg/kg - ppm,swordfish,"Vietnam, via Portugal and via Spain"
information for attention,25/03/2013,25/03/2013,2013.0426,Slovenia,food,"dietetic foods, food supplements, fortified foods",lead (11.56 mg/kg - ppm) in food supplement from India,hm,lead,11.56 mg/kg - ppm,food supplement,India
alert,22/03/2013,19/06/2013,2013.0417,Italy,food,fish and fish products,mercury (2.0 mg/kg - ppm) in smoked swordfish from Spain,hm,mercury,2.0 mg/kg - ppm,smoked swordfish,Spain
alert,18/03/2013,24/04/2013,2013.0387,Poland,food,fish and fish products,mercury (3.33 mg/kg - ppm) in frozen blue shark steaks from Spain,hm,mercury,3.33 mg/kg - ppm,frozen blue shark steak,Spain
alert,08/03/2013,31/05/2013,2013.0331,Belgium,food,"dietetic foods, food supplements, fortified foods",lead (9.95; 5.73 mg/kg - ppm) in food supplement from France,hm,lead,9.95; 5.73 mg/kg - ppm,food supplement,France
information for attention,07/03/2013,16/10/2013,2013.0305,France,food,fish and fish products,mercury (1.375 mg/kg - ppm) in chilled vacuum packed tuna loins (Thunnus albacares) from Ecuador,hm,mercury,1.375 mg/kg - ppm,chilled vacuum packed tuna loins (thunnus albacares),Ecuador
alert,01/03/2013,26/05/2014,2013.0274,Italy,food,fish and fish products,mercury (1.25 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Portugal,hm,mercury,1.25 mg/kg - ppm,frozen blue shark (prionace glauca),Portugal
alert,18/02/2013,26/04/2013,2013.0199,Italy,food,cephalopods and products thereof,cadmium (1.25 mg/kg - ppm) in frozen squids from Spain,hm,cadmium,1.25 mg/kg - ppm,frozen squid,Spain
information for attention,14/02/2013,23/07/2013,2013.0190,Italy,food,fish and fish products,mercury (1.28 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain,hm,mercury,1.28 mg/kg - ppm,swordfish,Spain
information for attention,06/02/2013,25/02/2013,2013.0145,Italy,food,bivalve molluscs and products thereof,lead (2.20 mg/kg - ppm) in tulip mussel (Modiolus barbatus) from Greece,hm,lead,2.20 mg/kg - ppm,tulip mussel (modiolus barbatus),Greece
information for attention,01/02/2013,22/03/2013,2013.0121,Italy,food,fish and fish products,mercury (3.5 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrinchus) from Spain,hm,mercury,3.5 mg/kg - ppm,frozen shortfin mako shark (isurus oxyrinchus),Spain
border rejection,31/01/2013,09/01/2014,2013.AIA,France,food,fish and fish products,mercury (1.127 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam,hm,mercury,1.127 mg/kg - ppm,swordfish,Vietnam
